Направление,Год поступления,Количество абитуриентов,Баллы ЕГЭ,Возраст,Вступительный балл,Регион рождения,Уровень безработицы,Доля женщин,Доля квоты,Доля волонтерства
1,1908,11,-0.3976196080445521,-0.30292059609541105,1.48025827012238,1.48025827012238,33.79347629993913,0.1104709689440599,-0.9324718352416675,0.9653813112073044
1,1909,11,-0.32367976256031294,-1.2019728926169895,-0.1654795759588712,-0.1654795759588712,29.929197036064526,-0.6075846238572629,0.27053334915277244,-0.5791177686387091
1,1910,11,-1.1862865992073028,-1.799673803833403,-1.6100798551375353,-1.6100798551375353,27.189644697554648,-0.6395561557775674,-0.7482228213647215,0.253945459975644
1,1911,11,-0.042719462021313756,0.7493083227757092,0.5673027899825358,0.5673027899825358,32.60947389106122,-0.45564282521240995,-0.7617827908810767,0.34562878563897786
1,1912,11,0.9579040980791583,0.5212106757160365,-0.0841621803440126,-0.0841621803440126,29.937970367319213,-0.9389850826856599,-0.6405838326588162,-0.38654108778277846
1,1913,11,-1.5609080501350783,-1.351814942037254,0.5088924104601432,0.5088924104601432,30.758480315780393,-1.0126372362053933,0.9334508628842678,0.6646303086818497
1,1914,12,-1.2602218145660775,1.1642828044780003,-0.9725865456395801,-0.9725865456395801,28.297554927557417,-0.8354716478167401,-0.6953880193670166,-0.21755078790901808
1,1915,12,0.17211033318084945,1.0284559384353464,0.9221456769437646,0.9221456769437646,32.39752619033832,-0.55231127670706,-0.7378798335197666,0.14621102241021955
1,1916,12,0.583283032995175,-0.7571618171561243,0.13871152217336258,0.13871152217336258,30.96543247606375,-0.9981869649120757,-0.22684382579455148,0.4500857092349941
1,1917,12,-1.3460736248074443,-0.14059170922346048,0.7896986235593417,0.7896986235593417,30.806268598388744,-0.8210421071168977,-0.7116096274402158,-0.35010766167489965
1,1918,12,-0.9213435889416727,0.47903509056104715,-0.6201146787604169,-0.6201146787604169,30.39858898735618,-0.4206056655331383,-0.7415572115753528,-0.4906098421858342
1,1919,12,-1.1020797744164685,-2.1291855909159523,0.17214901836892613,0.17214901836892613,29.243253637094426,-0.7505363148012141,-0.715071573052436,-0.5190253577867292
1,1920,12,-0.9123067796679318,0.4118858305026769,0.569620950329856,0.569620950329856,30.58321630787944,-0.18692014948574,-0.12379644975603302,-0.07455899570814398
1,1921,12,-1.739172706074288,-0.06885741138733321,0.36386923357410383,0.36386923357410383,31.696958852759334,-0.8438643635044945,-0.3755220003846761,-0.5868798547581412
1,1922,12,-1.1472680650668485,0.34015153266655257,0.07512798324222991,0.07512798324222991,29.8197068555146,7.987469094011643e-05,-0.9227181755639194,1.055315189490048
1,1923,12,0.04107872085246004,-0.4137737872346868,-0.20680613240802592,-0.20680613240802592,30.6189541668729,-0.7651196645155963,-0.5142098802219235,-0.4699930877204379
1,1924,12,0.7595029359739383,-1.7873259069204337,0.5111549499636844,0.5111549499636844,33.118414130010635,-1.0154118036325066,-0.8099840510971986,-0.577935712523374
1,1925,12,0.46128822994052343,-0.7586901630820462,0.30384181878019295,0.30384181878019295,28.316038011309587,-0.6804851937572215,-0.8158513679217838,-0.04405408003862408
1,1926,12,1.7174047189903627,-1.5828214348934937,-0.12501821190420803,-0.12501821190420803,29.780305634284314,-0.839039999293299,-0.7750595461889527,-0.6011319447653313
1,1927,12,-1.1653374393326486,0.47903509056104715,0.2865082413943294,0.2865082413943294,29.14011645879343,-0.38886100567072895,-0.8158513679217838,-0.4044890071093415
1,1928,12,-0.8354960229819814,-1.6499706949518582,0.9634083862226691,0.9634083862226691,33.901105700948165,-0.8469489361281534,-0.7055280318716266,-0.2910683615814161
1,1929,12,0.44321461139304474,-0.34356783532448437,-1.7296351259236205,-1.7296351259236205,29.778241829445957,0.22099276723690015,0.23604255875585795,1.7024402894747523
1,1930,12,0.42966151962327437,0.20585301254981503,0.8478560888138588,0.8478560888138588,33.21322520660817,-0.6885837356567546,-0.6373165730384649,-0.7769669263910725
1,1931,13,0.20791212282919655,-0.5709673544918825,-0.6605633078242794,-0.6605633078242794,29.22110665002021,-0.4970939455738799,-0.4945195334091256,-0.796126232181321
1,1932,13,-0.8806817017667147,1.2646577670704204,0.36023371116435354,0.36023371116435354,29.033120957445142,-0.6076188558676657,-0.6855249727104606,-0.12903205940371504
1,1933,13,-1.5313280516775087,-0.5089834221303111,-0.645853668717442,-0.645853668717442,29.62788526519076,-0.6750914908035955,-0.8216825505875182,0.18911581041213119
1,1934,13,-0.9766050312056272,0.12778527174172577,-1.3983045494486992,-1.3983045494486992,27.941460216488508,-0.3169654490742441,-0.2850222419385133,-0.7193700071210083
1,1935,13,0.9878563181711981,0.8871110494822178,-1.3079245540812263,-1.3079245540812263,28.492083690599824,-0.6395309321909548,-0.6635199873211199,-0.3153872773096162
1,1936,13,0.26213101957239976,-0.2554045692652483,0.6573599528319967,0.6573599528319967,30.32238133839601,-0.60755039184686,-0.4944393347702822,0.3268116103092694
1,1937,13,0.020218668907658856,0.12355292917764504,-0.8548420383329237,-0.8548420383329237,27.830589107691594,-0.7839746385238227,-0.9607889117254522,-0.7789093444896229
1,1938,13,-2.1694638553392864,0.6955161289787293,-1.8076090965097866,-1.8076090965097866,26.554411724743616,-0.42892018077320826,0.4190747505333977,0.2760516872222063
1,1939,13,-2.469763978897411,0.9505057626984827,-1.2442299073435323,-1.2442299073435323,25.477621991721357,-0.9218914864159609,-0.6237754744529241,-0.49531645321876216
1,1940,13,-0.7597255264343427,0.4419372761136664,-0.027419577399857408,-0.027419577399857408,29.00104322265819,-0.8860575816797192,-0.5614957450548,-0.6306381876004323
1,1941,13,-0.5595254440622576,0.2517531364648715,2.323618547356786,2.323618547356786,32.73077288055636,-0.5569744423202484,-0.3160633331918731,-0.46172883841414214
1,1942,13,0.1745415246353763,-0.5723781353465761,0.3799003027466196,0.3799003027466196,30.550447762770528,-1.0077088417167683,-0.350922198440543,-0.7710922960442366
1,1943,13,-2.0443427216552057,-0.06522042961645338,0.3471137975919131,0.3471137975919131,30.3479183122189,1.1410670134302348e-05,0.27053334915277244,0.7081498280424244
1,1944,13,-0.5470148978132416,0.8208947745565627,0.35344418554154405,0.35344418554154405,30.905793448469385,-0.9035753934934805,-1.030008432019148,0.08701023324800775
1,1945,13,0.036898091306861405,-2.285446173040433,-2.2923412587461613,-2.2923412587461613,27.058782517130712,-0.06746122426579533,0.5167991000210079,-0.7368236190210277
1,1946,14,-1.5042174839349147,-2.0609446551962147,0.5948353759750448,0.5948353759750448,32.325377344202266,-0.7696011045284613,-0.3161515516946008,-0.41638952611040747
1,1947,14,-0.8729336265043771,-0.7671912388575818,-0.46848473593208484,-0.46848473593208484,30.500238546038865,-0.7522699075125877,-0.6728783495649254,-0.3220713156166181
1,1948,14,1.2610461538294775,0.9425578457677016,-0.41970637614332573,-0.41970637614332573,30.67116870268999,-0.69442317965878,-0.6092671545398447,-0.4508489585739985
