Направление,Год поступления,Количество поступивших,Сумма баллов,Сумма баллов за ВИ,Кол-во баллов за ИД,Возраст,Регион рождения,Уровень безработицы,Доля женщин,Доля преимущественного права,Доля наличия договора
1,1908,11,180.9090909090909,76.0909090909091,83.45454545454545,25.636363636363637,76.0909090909091,33.72727272727273,0.45454545454545453,0.18181818181818182,0.0
1,1909,11,181.63636363636363,69.27272727272727,82.72727272727273,24.545454545454547,69.27272727272727,29.90909090909091,0.21428571428571427,0.0,0.21428571428571427
1,1910,11,173.63636363636363,63.18181818181818,83.18181818181819,23.820204901787147,63.18181818181818,27.0,0.21052631578947367,0.10526315789473684,0.05263157894736842
1,1911,11,184.1818181818182,72.45454545454545,82.9090909090909,26.913137076301563,72.45454545454545,32.63636363636363,0.3125,0.125,0.0
1,1912,11,193.45454545454547,69.54545454545455,82.36363636363636,26.636363636363637,69.54545454545455,29.90909090909091,0.11363636363636363,0.045454545454545456,0.06818181818181818
1,1913,11,170.0909090909091,72.0909090909091,76.36363636363636,24.363636363636363,72.0909090909091,30.90909090909091,0.08333333333333333,0.16666666666666666,0.3333333333333333
1,1914,12,173.0,66.0,76.25,27.416666666666668,66.0,28.25,0.09375,0.0625,0.0625
1,1915,12,186.16666666666666,73.91666666666667,78.66666666666667,27.251854493304887,73.91666666666667,32.416666666666664,0.2727272727272727,0.09090909090909091,0.045454545454545456
1,1916,12,189.91666666666666,70.58333333333333,83.08333333333333,25.08518782663822,70.58333333333333,30.75,0.07142857142857142,0.14285714285714285,0.14285714285714285
1,1917,12,172.16666666666666,73.41666666666667,77.75,25.833333333333332,73.41666666666667,30.75,0.16216216216216217,0.05405405405405406,0.05405405405405406
1,1918,12,176.08333333333334,67.33333333333333,80.0,26.58518782663822,67.33333333333333,30.333333333333332,0.3076923076923077,0.038461538461538464,0.038461538461538464
1,1919,12,174.41666666666666,70.75,75.75,23.420375653276434,70.75,29.083333333333332,0.17647058823529413,0.029411764705882353,0.058823529411764705
1,1920,12,176.16666666666666,72.33333333333333,81.16666666666667,26.503708986609766,72.33333333333333,30.5,0.38461538461538464,0.07692307692307693,0.15384615384615385
